id;nombre;celular;correo;identificacion;direccion;activo
1;jaywalk;unwelcome seriously incidental;caption;curl reorient;suddenly;false
2;mouser blind;oddball;handful concrete;unearth hm carefully;circa willow since;true
3;egg;whoa warmly until;er;yippee an failing;indeed like;true
4;when rejigger besmirch;stealthily ugh finding;innocently;regarding;huzzah excepting;false
5;playfully than drat;deliquesce;sit whenever;definitive circa violently;wisely flood;false
6;deliquesce shampoo;mmm;likewise;aside kissingly inborn;whereas;true
7;bliss retention wildly;yahoo past;qua dress monstrous;um;tragic animated;false
8;wherever;almost gust besides;deflect from rebel;culture matter pfft;before vein for;false
9;community following;winding velocity nougat;athwart onto;quadruple utterly;penalise;true
10;brand valley;uh-huh on illusion;indeed apt shell;if among;zowie boo ouch;true
