id;nombre;celular;especialidad;activo
1;cruelly when;gosh to eek;jubilantly whereas frankly;false
2;notwithstanding really;frank;eek;false
3;microblog yahoo;upon;deduct unaware;true
4;gosh;waver;throughout;true
5;greedily athwart sudden;cap modulo whenever;by considering;true
6;long-term;that wee tragic;aboard nor;true
7;meanwhile wrong;brr gah;impossible ha husk;false
8;or;squid;fooey disinherit spice;false
9;highlight loosely blah;warmly;after;false
10;modulo whoa regarding;gracefully;prejudge term;false
